"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Windsor School District","900387000","2016-2017","Non-Special Education","Four Year Graduation Count","Number",207
"Wolcott School District","900987560","2010-2011","Non-Special Education","Total Cohort Count","Number",207
"Avon School District","900302060","2015-2016","Non-Special Education","Four Year Graduation Count","Number",206
"Bridgeport School District","900108070","2013-2014","Non-Special Education","Other Count","Number",206
"Brookfield School District","900108980","2013-2014","Non-Special Education","Four Year Graduation Count","Number",206
"Plainville School District","900360120","2010-2011","Non-Special Education","Total Cohort Count","Number",206
"Torrington School District","900576570","2015-2016","Non-Special Education","Four Year Graduation Count","Number",206
"Berlin School District","","2016-2017","Non-Special Education","Total Cohort Count","Number",205
"Connecticut Technical High School System","","2012-2013","Special Education","Four Year Graduation Count","Number",205
"Regional School District 10","","2011-2012","Non-Special Education","Total Cohort Count","Number",205
"Bethel School District","900104720","2011-2012","Non-Special Education","Four Year Graduation Count","Number",204
"Bethel School District","900104720","2012-2013","Non-Special Education","Four Year Graduation Count","Number",204
"Branford School District","900907310","2016-2017","Non-Special Education","Total Cohort Count","Number",204
"Ledyard School District","901142600","2013-2014","Non-Special Education","Total Cohort Count","Number",204
"Regional School District 09","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",204
"Tolland School District","901376290","2013-2014","Non-Special Education","Total Cohort Count","Number",204
"Torrington School District","900576570","2013-2014","Non-Special Education","Four Year Graduation Count","Number",204
"Watertown School District","900580490","2011-2012","Non-Special Education","Total Cohort Count","Number",204
"Watertown School District","900580490","2013-2014","Non-Special Education","Total Cohort Count","Number",204
"Brookfield School District","900108980","2014-2015","Non-Special Education","Four Year Graduation Count","Number",203
"Ledyard School District","901142600","2012-2013","Non-Special Education","Total Cohort Count","Number",203
"Vernon School District","901378250","2011-2012","Non-Special Education","Four Year Graduation Count","Number",203
"Berlin School District","","2013-2014","Non-Special Education","Total Cohort Count","Number",202
"Suffield School District","900374540","2010-2011","Non-Special Education","Total Cohort Count","Number",202
"Tolland School District","901376290","2011-2012","Non-Special Education","Four Year Graduation Count","Number",202
"Torrington School District","900576570","2010-2011","Non-Special Education","Four Year Graduation Count","Number",202
"Waterford School District","901180280","2012-2013","Non-Special Education","Four Year Graduation Count","Number",202
"Bethel School District","900104720","2013-2014","Non-Special Education","Four Year Graduation Count","Number",201
"Regional School District 14","","2010-2011","Non-Special Education","Total Cohort Count","Number",201
"Watertown School District","900580490","2015-2016","Non-Special Education","Total Cohort Count","Number",201
"Bridgeport School District","900108070","2014-2015","Special Education","Total Cohort Count","Number",200
"East Haven School District","900922910","2014-2015","Non-Special Education","Total Cohort Count","Number",200
"Regional School District 10","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",200
"Torrington School District","900576570","2012-2013","Non-Special Education","Four Year Graduation Count","Number",200
