"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Guilford School District","900934950","2013-2014","Non-Special Education","Four Year Graduation Count","Number",246
"New Haven School District","900952070","2011-2012","Non-Special Education","Other Count","Number",246
"North Haven School District","900954870","2014-2015","Non-Special Education","Four Year Graduation Count","Number",246
"Regional School District 08","","2012-2013","Non-Special Education","Total Cohort Count","Number",246
"Woodstock Academy District","","2016-2017","Non-Special Education","Total Cohort Count","Number",246
"Guilford School District","900934950","2010-2011","Non-Special Education","Total Cohort Count","Number",245
"Avon School District","900302060","2013-2014","Non-Special Education","Total Cohort Count","Number",244
"Connecticut Technical High School System","","2016-2017","Special Education","Total Cohort Count","Number",244
"Avon School District","900302060","2011-2012","Non-Special Education","Four Year Graduation Count","Number",243
"East Lyme School District","901123400","2011-2012","Non-Special Education","Four Year Graduation Count","Number",243
"Hartford School District","900337070","2012-2013","Special Education","Total Cohort Count","Number",243
"Avon School District","900302060","2013-2014","Non-Special Education","Four Year Graduation Count","Number",242
"Groton School District","901134250","2012-2013","Non-Special Education","Four Year Graduation Count","Number",242
"Guilford School District","900934950","2012-2013","Non-Special Education","Total Cohort Count","Number",242
"Guilford School District","900934950","2014-2015","Non-Special Education","Total Cohort Count","Number",242
"New Haven School District","900952070","2016-2017","Special Education","Total Cohort Count","Number",242
"Regional School District 08","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",242
"Wethersfield School District","900384900","2012-2013","Non-Special Education","Total Cohort Count","Number",242
"Brookfield School District","900108980","2010-2011","Non-Special Education","Four Year Graduation Count","Number",241
"Connecticut Technical High School System","","2014-2015","Special Education","Total Cohort Count","Number",241
"Hartford School District","900337070","2013-2014","Special Education","Total Cohort Count","Number",241
"New Haven School District","900952070","2012-2013","Non-Special Education","Other Count","Number",241
"Wethersfield School District","900384900","2014-2015","Non-Special Education","Four Year Graduation Count","Number",241
"Groton School District","901134250","2013-2014","Non-Special Education","Four Year Graduation Count","Number",240
"New Fairfield School District","900150860","2014-2015","Non-Special Education","Total Cohort Count","Number",240
"Regional School District 08","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",240
"Regional School District 19","","2011-2012","Non-Special Education","Total Cohort Count","Number",240
"Regional School District 19","","2016-2017","Non-Special Education","Total Cohort Count","Number",240
"Unified School District #1","","2013-2014","Non-Special Education","Total Cohort Count","Number",240
"Unified School District #1","","2014-2015","Non-Special Education","Total Cohort Count","Number",240
"East Lyme School District","901123400","2014-2015","Non-Special Education","Total Cohort Count","Number",239
"Groton School District","901134250","2014-2015","Non-Special Education","Total Cohort Count","Number",239
"Middletown School District","900747360","2010-2011","Non-Special Education","Four Year Graduation Count","Number",239
"New Fairfield School District","900150860","2014-2015","Non-Special Education","Four Year Graduation Count","Number",239
"North Haven School District","900954870","2015-2016","Non-Special Education","Total Cohort Count","Number",239
"Regional School District 15","","2015-2016","Non-Special Education","Total Cohort Count","Number",239
"Regional School District 19","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",239
"Regional School District 19","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",239
"Vernon School District","901378250","2011-2012","Non-Special Education","Total Cohort Count","Number",239
"Berlin School District","","2012-2013","Non-Special Education","Total Cohort Count","Number",238
"Branford School District","900907310","2010-2011","Non-Special Education","Four Year Graduation Count","Number",238
"Branford School District","900907310","2012-2013","Non-Special Education","Total Cohort Count","Number",238
"East Haven School District","900922910","2010-2011","Non-Special Education","Four Year Graduation Count","Number",238
"New Canaan School District","900150580","2015-2016","Non-Special Education","Total Cohort Count","Number",238
"Regional School District 08","","2010-2011","Non-Special Education","Total Cohort Count","Number",238
"Woodstock Academy District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",238
"East Lyme School District","901123400","2013-2014","Non-Special Education","Total Cohort Count","Number",237
"Naugatuck School District","900949950","2013-2014","Non-Special Education","Four Year Graduation Count","Number",237
"Watertown School District","900580490","2012-2013","Non-Special Education","Total Cohort Count","Number",237
"Branford School District","900907310","2013-2014","Non-Special Education","Four Year Graduation Count","Number",236
"Capitol Region Education Council","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",236
"Guilford School District","900934950","2014-2015","Non-Special Education","Four Year Graduation Count","Number",236
"Waterbury School District","900980070","2013-2014","Special Education","Total Cohort Count","Number",236
"Waterford School District","901180280","2010-2011","Non-Special Education","Four Year Graduation Count","Number",236
"Windsor School District","900387000","2013-2014","Non-Special Education","Four Year Graduation Count","Number",236
"Bridgeport School District","900108070","2015-2016","Non-Special Education","Other Count","Number",235
"Brookfield School District","900108980","2011-2012","Non-Special Education","Total Cohort Count","Number",235
"Groton School District","901134250","2016-2017","Non-Special Education","Total Cohort Count","Number",235
"Regional School District 15","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",235
"Wethersfield School District","900384900","2016-2017","Non-Special Education","Total Cohort Count","Number",235
"Windsor School District","900387000","2014-2015","Non-Special Education","Four Year Graduation Count","Number",235
"East Lyme School District","901123400","2014-2015","Non-Special Education","Four Year Graduation Count","Number",234
"Guilford School District","900934950","2010-2011","Non-Special Education","Four Year Graduation Count","Number",234
"Regional School District 08","","2014-2015","Non-Special Education","Total Cohort Count","Number",234
"Capitol Region Education Council","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",233
"Guilford School District","900934950","2012-2013","Non-Special Education","Four Year Graduation Count","Number",233
